,AdjustmentPeriod,ShortSig,LongSig,TotalCap,Capital,NumOfStocks,Position,SR
257,40,190,220,198512.09678010002,3454.6434230999944,949.0,195057.45335700002,0.02681061641244977
258,60,190,220,182139.56969345,31.13589544998831,886.0,182108.433798,0.023092524941635603
259,80,190,220,177239.84068485,64.36671884999305,862.0,177175.47396600002,0.02163363478583193
260,20,210,220,197097.8732069,1218.2598778999886,953.0,195879.613329,0.026498514566174598
261,40,210,220,196039.6011212,3448.6276801999916,937.0,192590.973441,0.026454448379629788
262,60,210,220,187076.20437495,34.81074494998575,910.0,187041.39363,0.024228801634362782
263,80,210,220,178648.93254275,34.67862574999374,869.0,178614.253917,0.0220007886746341
264,20,10,240,195705.53303045,2086.859624449976,942.0,193618.67340600002,0.027719978746540717
265,40,10,240,186710.027966,79.7143219999939,908.0,186630.313644,0.023569731382691687
266,60,10,240,173323.2462395,53.03214049999406,843.0,173270.214099,0.020808343299061317
267,80,10,240,170423.2714947,30.617297699991767,829.0,170392.654197,0.0202169093860879
268,20,30,240,195705.53303045,2086.859624449976,942.0,193618.67340600002,0.027719978746540717
269,40,30,240,186710.027966,79.7143219999939,908.0,186630.313644,0.023569731382691687
270,60,30,240,173323.2462395,53.03214049999406,843.0,173270.214099,0.020808343299061317
271,80,30,240,170423.2714947,30.617297699991767,829.0,170392.654197,0.0202169093860879
272,20,50,240,195705.53303045,2086.859624449976,942.0,193618.67340600002,0.027719978746540717
273,40,50,240,186710.027966,79.7143219999939,908.0,186630.313644,0.023569731382691687
274,60,50,240,173323.2462395,53.03214049999406,843.0,173270.214099,0.020808343299061317
275,80,50,240,170423.2714947,30.617297699991767,829.0,170392.654197,0.0202169093860879
276,20,70,240,195705.53303045,2086.859624449976,942.0,193618.67340600002,0.027719978746540717
277,40,70,240,186710.027966,79.7143219999939,908.0,186630.313644,0.023569731382691687
278,60,70,240,173323.2462395,53.03214049999406,843.0,173270.214099,0.020808343299061317
279,80,70,240,170423.2714947,30.617297699991767,829.0,170392.654197,0.0202169093860879
280,20,90,240,195705.53303045,2086.859624449976,942.0,193618.67340600002,0.027719978746540717
281,40,90,240,186710.027966,79.7143219999939,908.0,186630.313644,0.023569731382691687
282,60,90,240,173323.2462395,53.03214049999406,843.0,173270.214099,0.020808343299061317
283,80,90,240,170423.2714947,30.617297699991767,829.0,170392.654197,0.0202169093860879
284,20,110,240,195705.53303045,2086.859624449976,942.0,193618.67340600002,0.027719978746540717
285,40,110,240,186710.027966,79.7143219999939,908.0,186630.313644,0.023569731382691687
286,60,110,240,173323.2462395,53.03214049999406,843.0,173270.214099,0.020808343299061317
